OLIMEX ESP32-PoE                                 esp32:esp32:esp32-poe                           
OLIMEX ESP32-PoE                                 espressif:esp32:esp32-poe                       
OLIMEX ESP32-PoE-ISO                             esp32:esp32:esp32-poe-iso                       
OLIMEX ESP32-PoE-ISO                             espressif:esp32:esp32-poe-iso                   
OROCA EduBot                                     espressif:esp32:oroca_edubot                    
OROCA EduBot                                     esp32:esp32:oroca_edubot                        
Onehorse ESP32 Dev Module                        esp32:esp32:onehorse32dev                       
Onehorse ESP32 Dev Module                        espressif:esp32:onehorse32dev                   
Piranha ESP-32                                   espressif:esp32:piranha_esp-32                  
Piranha ESP-32                                   esp32:esp32:piranha_esp-32                      
ProtoCentral HealthyPi 4                         esp32:esp32:healthypi4                          
ProtoCentral HealthyPi 4                         espressif:esp32:healthypi4                      
Pycom GPy                                        espressif:esp32:gpy                             
Pycom GPy                                        esp32:esp32:gpy                                 
S.ODI Ultra v1                                   esp32:esp32:S_ODI_Ultra                         
S.ODI Ultra v1                                   espressif:esp32:S_ODI_Ultra                     
Senses's WEIZEN                                  esp32:esp32:sensesiot_weizen                    
Senses's WEIZEN                                  espressif:esp32:sensesiot_weizen                
Silicognition wESP32                             esp32:esp32:wesp32                              
Silicognition wESP32                             espressif:esp32:wesp32                          
Sonoff DUALR3                                    esp32:esp32:sonoff_dualr3                       
Sonoff DUALR3                                    espressif:esp32:sonoff_dualr3                   
SparkFun ESP32 MicroMod                          esp32:esp32:esp32micromod                       
SparkFun ESP32 MicroMod                          espressif:esp32:esp32micromod                   
SparkFun ESP32 Thing                             esp32:esp32:esp32thing                          
SparkFun ESP32 Thing                             espressif:esp32:esp32thing                      
SparkFun ESP32 Thing Plus                        esp32:esp32:esp32thing_plus                     
SparkFun ESP32 Thing Plus                        espressif:esp32:esp32thing_plus                 
SparkFun ESP32-S2 Thing Plus                     espressif:esp32:sparkfun_esp32s2_thing_plus     
SparkFun ESP32-S2 Thing Plus                     esp32:esp32:sparkfun_esp32s2_thing_plus         
SparkFun LoRa Gateway 1-Channel                  espressif:esp32:sparkfun_lora_gateway_1-channel 
SparkFun LoRa Gateway 1-Channel                  esp32:esp32:sparkfun_lora_gateway_1-channel     
T-Beam                                           espressif:esp32:t-beam                          
T-Beam                                           esp32:esp32:t-beam                              
TTGO LoRa32-OLED                                 espressif:esp32:ttgo-lora32                     
TTGO LoRa32-OLED                                 esp32:esp32:ttgo-lora32                         
TTGO T-OI PLUS RISC-V ESP32-C3                   espressif:esp32:ttgo-t-oi-plus                  
TTGO T-OI PLUS RISC-V ESP32-C3                   esp32:esp32:ttgo-t-oi-plus                      
TTGO T-Watch                                     espressif:esp32:twatch                          
TTGO T-Watch                                     esp32:esp32:twatch                              
TTGO T1                                          esp32:esp32:ttgo-t1                             
TTGO T1                                          espressif:esp32:ttgo-t1                         
TTGO T7 V1.3 Mini32                              esp32:esp32:ttgo-t7-v13-mini32                  
TTGO T7 V1.3 Mini32                              espressif:esp32:ttgo-t7-v13-mini32              
TTGO T7 V1.4 Mini32                              espressif:esp32:ttgo-t7-v14-mini32              
TTGO T7 V1.4 Mini32                              esp32:esp32:ttgo-t7-v14-mini32                  
